building,room_number,course_id,sec_id,semester,year,time_slot_id,capacity
Alumni,143,694,1,Fall,2012,O,47
Alumni,547,362,2,Fall,2016,A,26
Alumni,547,445,1,Spring,2011,J,26
Alumni,547,581,1,Spring,2015,G,26
Bronfman,700,362,3,Spring,2018,L,12
Bronfman,700,604,1,Spring,2019,N,12
Chandler,375,105,1,Fall,2019,C,10
Chandler,375,200,2,Fall,2012,D,10
Chandler,804,313,1,Fall,2010,N,11
Chandler,804,599,1,Spring,2013,D,11
Drown,757,169,2,Fall,2012,L,18
Drown,757,476,1,Fall,2010,C,18
Drown,757,735,1,Spring,2013,D,18
Fairchild,145,137,1,Spring,2012,I,27
Fairchild,145,237,2,Fall,2019,J,27
Fairchild,145,242,1,Fall,2019,C,27
Fairchild,145,338,1,Spring,2017,G,27
Fairchild,145,663,1,Spring,2015,D,27
Fairchild,145,843,1,Fall,2010,J,27
Fairchild,145,893,1,Fall,2017,B,27
Garfield,119,760,1,Spring,2014,A,59
Gates,314,169,1,Spring,2017,A,10
Gates,314,747,1,Spring,2014,K,10
Gates,707,421,1,Fall,2014,E,65
Gates,707,443,2,Spring,2012,K,65
Gates,707,852,1,Spring,2018,F,65
Lambeau,348,352,1,Spring,2016,M,51
Lambeau,348,400,1,Spring,2017,M,51
Lambeau,348,468,1,Fall,2015,J,51
Lamberton,134,415,1,Fall,2010,D,10
Lamberton,134,426,1,Spring,2016,G,10
Lamberton,134,493,1,Spring,2010,H,10
Lamberton,134,559,1,Fall,2012,J,10
Lamberton,134,867,2,Fall,2010,M,10
Lamberton,134,960,1,Fall,2019,J,10
Lamberton,134,991,1,Spring,2018,J,10
Lamberton,143,304,1,Fall,2019,H,10
Lamberton,143,362,1,Fall,2015,I,10
Lamberton,143,489,1,Fall,2017,D,10
Lamberton,143,612,1,Fall,2017,G,10
Lamberton,143,626,1,Fall,2016,B,10
Lamberton,143,795,1,Spring,2014,D,10
Main,425,274,1,Fall,2012,N,22
Main,425,400,2,Fall,2013,O,22
Main,425,461,1,Fall,2012,P,22
Main,45,258,1,Fall,2017,K,30
Main,45,561,1,Fall,2016,L,30
Nassau,45,793,1,Spring,2012,F,92
Nassau,45,962,1,Spring,2018,L,92
Polya,808,192,1,Fall,2012,B,28
Polya,808,791,1,Spring,2016,H,28
Polya,808,808,1,Fall,2013,M,28
Polya,808,974,1,Fall,2013,H,28
Power,717,237,1,Spring,2018,D,12
Power,717,270,1,Spring,2010,M,12
Power,717,376,1,Fall,2016,K,12
Power,717,468,2,Fall,2017,L,12
Power,717,875,1,Spring,2015,P,12
Power,717,960,2,Fall,2016,M,12
Power,972,571,1,Spring,2014,I,10
Power,972,864,1,Spring,2016,D,10
Rathbone,261,319,1,Spring,2013,E,60
Saucon,113,349,1,Spring,2018,K,109
Saucon,113,527,1,Fall,2014,M,109
Saucon,113,642,1,Fall,2014,D,109
Saucon,113,702,1,Spring,2011,O,109
Saucon,113,802,1,Spring,2013,J,109
Saucon,180,200,1,Spring,2017,D,15
Saucon,180,401,1,Fall,2013,A,15
Saucon,180,545,1,Fall,2011,P,15
Saucon,180,591,1,Spring,2015,F,15
Saucon,180,696,1,Spring,2012,E,15
Saucon,180,748,1,Fall,2013,L,15
Saucon,180,927,1,Fall,2012,F,15
Saucon,180,949,1,Fall,2017,B,15
Saucon,180,959,1,Fall,2016,M,15
Saucon,844,366,1,Fall,2015,O,24
Saucon,844,457,1,Spring,2011,D,24
Saucon,844,679,1,Spring,2010,D,24
Stabler,105,338,2,Spring,2016,J,113
Stabler,105,629,1,Spring,2013,F,113
Taylor,183,105,2,Fall,2012,C,71
Taylor,183,239,1,Fall,2016,C,71
Taylor,183,345,1,Spring,2018,A,71
Taylor,183,408,2,Spring,2013,J,71
Taylor,183,631,1,Spring,2017,E,71
Taylor,183,692,1,Spring,2010,I,71
Taylor,183,735,2,Spring,2010,D,71
Taylor,183,867,1,Fall,2016,E,71
Taylor,183,972,1,Spring,2019,J,71
Taylor,812,158,2,Spring,2018,D,115
Taylor,812,334,1,Fall,2019,O,115
Taylor,812,408,1,Spring,2017,C,115
Taylor,812,496,1,Fall,2011,I,115
Taylor,812,603,1,Fall,2013,P,115
Taylor,812,704,1,Spring,2018,E,115
Whitman,134,486,1,Fall,2019,K,120
Whitman,434,158,1,Fall,2018,F,32
Whitman,434,443,1,Spring,2010,O,32
Whitman,434,482,1,Fall,2015,H,32
