ID,s_rank
14214,1
14581,1
15328,1
20803,1
26427,1
33645,1
38476,1
61354,1
71025,1
72657,1
75560,1
82301,1
93004,1
10527,14
17997,14
23525,14
36019,14
39580,14
51923,14
56058,14
61854,14
65205,14
66229,14
69122,14
70395,14
76270,14
87831,14
91978,14
96117,14
97551,14
99660,14
20974,32
34158,32
40677,32
4355,32
4508,32
50664,32
51975,32
56080,32
58172,32
75116,32
75231,32
76173,32
89551,32
93653,32
94535,32
95320,32
95840,32
978,32
10834,50
11682,50
24784,50
30124,50
30188,50
42991,50
50039,50
59397,50
64938,50
72669,50
84515,50
88045,50
91915,50
96772,50
99710,50
25725,65
31086,65
33349,65
4345,65
45200,65
50386,65
5920,65
59538,65
61444,65
77000,65
77664,65
86969,65
92949,65
99949,65
19321,79
27919,79
29514,79
69521,79
69628,79
81883,79
83039,79
96988,79
15457,87
19362,87
29140,87
43130,87
46451,87
64259,87
65433,87
68280,87
76169,87
79763,87
81207,87
8192,87
85505,87
13741,100
19048,100
19603,100
38545,100
53048,100
56276,100
6304,100
7861,100
80254,100
87785,100
88140,100
88887,100
90041,100
931,100
94569,100
11055,115
19917,115
21102,115
2848,115
30222,115
32954,115
39046,115
48678,115
50365,115
51553,115
5824,115
65144,115
67146,115
96134,115
10454,129
11057,129
11202,129
13921,129
22532,129
27094,129
28299,129
29645,129
32385,129
34195,129
4383,129
53118,129
57156,129
59290,129
60762,129
63582,129
64039,129
65901,129
7149,129
74460,129
77021,129
85904,129
90448,129
94324,129
94371,129
94990,129
11101,155
27043,155
3545,155
44551,155
44706,155
50969,155
58170,155
69230,155
73602,155
74070,155
75082,155
84189,155
90663,155
9114,155
99694,155
12666,170
1737,170
19293,170
21009,170
21789,170
26102,170
38696,170
43505,170
45720,170
46694,170
52929,170
5414,170
63090,170
64140,170
90567,170
96968,170
11262,186
16523,186
16849,186
21101,186
25362,186
25940,186
32490,186
46981,186
507,186
52856,186
69783,186
72979,186
79911,186
80990,186
81538,186
12236,201
18808,201
22226,201
24865,201
30397,201
40457,201
71630,201
7287,201
74840,201
76672,201
99775,201
12362,212
12683,212
14499,212
17607,212
21394,212
26147,212
27727,212
30723,212
34055,212
36379,212
36402,212
40937,212
41973,212
64121,212
67407,212
69952,212
74163,212
79205,212
83444,212
8986,212
92839,212
95205,212
99268,212
11076,235
11855,235
16057,235
2423,235
30164,235
32483,235
37038,235
40682,235
52669,235
67810,235
72006,235
75510,235
87222,235
11083,248
28829,248
39521,248
41211,248
43993,248
47379,248
48469,248
50583,248
60406,248
66212,248
68999,248
7854,248
90220,248
96067,248
10204,262
13081,262
20244,262
21225,262
29863,262
46655,262
52019,262
56057,262
76049,262
85366,262
88418,262
9514,262
10693,274
15538,274
28128,274
34770,274
43495,274
62429,274
64164,274
65563,274
74911,274
77588,274
81294,274
82974,274
84432,274
95089,274
95574,274
1232,289
15144,289
18286,289
25552,289
26881,289
31101,289
31302,289
31690,289
35,289
37946,289
4438,289
49759,289
52471,289
56486,289
57474,289
59455,289
59553,289
6400,289
68395,289
79329,289
7956,289
86375,289
91197,289
97953,289
11453,313
17133,313
23270,313
23506,313
28361,313
33206,313
36102,313
37454,313
37869,313
40371,313
45002,313
51868,313
56089,313
58874,313
59117,313
68242,313
75522,313
85211,313
95260,313
13023,332
22050,332
38602,332
40044,332
44271,332
46928,332
47677,332
52371,332
57242,332
74796,332
80651,332
8343,332
84727,332
90381,332
18108,346
19638,346
25525,346
25611,346
28989,346
29239,346
31624,346
38288,346
48778,346
49339,346
51008,346
54622,346
55354,346
57083,346
62728,346
64013,346
70310,346
7620,346
86573,346
9256,346
14869,366
22004,366
34197,366
51955,366
60366,366
63860,366
67657,366
72186,366
80799,366
81876,366
88169,366
99647,366
10076,378
14596,378
14829,378
24374,378
259,378
27236,378
45494,378
47265,378
49503,378
51862,378
