airline,max_delay
"Frontier Airlines Inc.: F9",456
"Southwest Airlines Co.: WN",568
"Alaska Airlines Inc.: AS",706
"Spirit Air Lines: NK",1083
"PSA Airlines Inc.: OH",1104
"Delta Air Lines Inc.: DL",1161
"Republic Airline: YX",1279
"Endeavor Air Inc.: 9E",1315
"Allegiant Air: G4",1405
"Hawaiian Airlines Inc.: HA",1411
"United Air Lines Inc.: UA",1412
"Mesa Airlines Inc.: YV",1434
"Envoy Air: MQ",1546
"SkyWest Airlines Inc.: OO",1568
"JetBlue Airways: B6",1594
"ExpressJet Airlines LLC: EV",1839
"American Airlines Inc.: AA",2058
