airline,max_early
"SkyWest Airlines Inc.: OO",-82
"Alaska Airlines Inc.: AS",-45
"Republic Airline: YX",-37
"Endeavor Air Inc.: 9E",-34
"Mesa Airlines Inc.: YV",-31
"Allegiant Air: G4",-30
"JetBlue Airways: B6",-28
"American Airlines Inc.: AA",-27
"Delta Air Lines Inc.: DL",-26
"United Air Lines Inc.: UA",-26
"Frontier Airlines Inc.: F9",-25
"PSA Airlines Inc.: OH",-25
"Spirit Air Lines: NK",-25
"Hawaiian Airlines Inc.: HA",-24
"Envoy Air: MQ",-23
"ExpressJet Airlines LLC: EV",-22
"Southwest Airlines Co.: WN",-19
