airline,airport,avg_delay
"Alaska Airlines Inc.: AS","Indianapolis, IN: Indianapolis International",30.2667
"Allegiant Air: G4","Raleigh/Durham, NC: Raleigh-Durham International",94.4167
"American Airlines Inc.: AA","Lihue, HI: Lihue Airport",35.5000
"Delta Air Lines Inc.: DL","Christiansted, VI: Henry E. Rohlsen",63.6000
"Endeavor Air Inc.: 9E","Miami, FL: Miami International",78.7500
"Envoy Air: MQ","Lubbock, TX: Lubbock Preston Smith International",87.5000
"ExpressJet Airlines LLC: EV","Asheville, NC: Asheville Regional",258.8000
"Frontier Airlines Inc.: F9","Fayetteville, AR: Northwest Arkansas Regional",63.5000
"Hawaiian Airlines Inc.: HA","San Jose, CA: Norman Y. Mineta San Jose International",38.2667
"JetBlue Airways: B6","Albuquerque, NM: Albuquerque International Sunport",54.8333
"Mesa Airlines Inc.: YV","Milwaukee, WI: General Mitchell International",70.1600
"PSA Airlines Inc.: OH","Ashland, WV: Tri-State/Milton J. Ferguson Field",54.0667
"Republic Airline: YX","Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field",209.5000
"SkyWest Airlines Inc.: OO","Raleigh/Durham, NC: Raleigh-Durham International",114.3750
"Southwest Airlines Co.: WN","Denver, CO: Denver International",23.9054
"Spirit Air Lines: NK","Indianapolis, IN: Indianapolis International",37.7671
"United Air Lines Inc.: UA","Hilo, HI: Hilo International",39.3214
