Name,Reason,count
"Abilene, TX: Abilene Regional",Weather,6
"Adak Island, AK: Adak",Weather,1
"Akron, OH: Akron-Canton Regional","National Air System",7
"Albany, NY: Albany International",Carrier,7
"Albuquerque, NM: Albuquerque International Sunport",Weather,20
"Alexandria, LA: Alexandria International",Weather,10
"Allentown/Bethlehem/Easton, PA: Lehigh Valley International","National Air System",2
"Amarillo, TX: Rick Husband Amarillo International",Weather,11
"Anchorage, AK: Ted Stevens Anchorage International",Weather,9
"Appleton, WI: Appleton International","National Air System",4
"Arcata/Eureka, CA: California Redwood Coast Humboldt County",Weather,4
"Asheville, NC: Asheville Regional",Weather,13
"Ashland, WV: Tri-State/Milton J. Ferguson Field",Weather,1
"Aspen, CO: Aspen Pitkin County Sardy Field",Weather,24
"Atlanta, GA: Hartsfield-Jackson Atlanta International",Weather,218
"Atlantic City, NJ: Atlantic City International",Carrier,2
"Atlantic City, NJ: Atlantic City International",Weather,2
"Augusta, GA: Augusta Regional at Bush Field",Weather,8
"Austin, TX: Austin - Bergstrom International",Weather,61
"Bakersfield, CA: Meadows Field",Carrier,4
"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Carrier,115
"Bangor, ME: Bangor International","National Air System",9
"Barrow, AK: Wiley Post/Will Rogers Memorial",Weather,2
"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",Weather,14
"Beaumont/Port Arthur, TX: Jack Brooks Regional",Weather,6
"Bend/Redmond, OR: Roberts Field",Carrier,2
"Bethel, AK: Bethel Airport",Weather,1
"Billings, MT: Billings Logan International",Carrier,3
"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",Weather,1
"Birmingham, AL: Birmingham-Shuttlesworth International",Weather,27
"Bismarck/Mandan, ND: Bismarck Municipal",Carrier,2
"Bismarck/Mandan, ND: Bismarck Municipal",Weather,2
"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",Weather,7
"Boise, ID: Boise Air Terminal","National Air System",6
"Boston, MA: Logan International",Carrier,70
"Bozeman, MT: Bozeman Yellowstone International",Carrier,2
"Bozeman, MT: Bozeman Yellowstone International",Weather,2
"Branson, MO: Branson Airport",Weather,3
"Bristol/Johnson City/Kingsport, TN: Tri Cities",Weather,2
"Brownsville, TX: Brownsville South Padre Island International",Weather,5
"Buffalo, NY: Buffalo Niagara International","National Air System",19
