year,dept_name,avg_total_credits
2012,Accounting,1168.0000
2013,Accounting,1503.5000
2014,Accounting,1272.3333
2017,Accounting,1477.5000
2018,Accounting,1457.5000
2010,Astronomy,1136.0000
2012,Astronomy,1028.5000
2017,Astronomy,1075.0000
2019,Astronomy,1051.5000
2010,Athletics,927.0000
2013,Athletics,1053.5000
2014,Athletics,1063.6667
2018,Athletics,1094.7500
2019,Athletics,1064.0000
2010,Biology,792.0000
2011,Biology,883.5000
2012,Biology,901.0000
2012,"Civil Eng.",843.0000
2015,"Civil Eng.",1011.5000
2016,"Civil Eng.",957.3333
2017,"Civil Eng.",1033.0000
2019,"Civil Eng.",1052.5000
2012,"Comp. Sci.",1328.0000
2014,"Comp. Sci.",1914.0000
2017,"Comp. Sci.",1579.0000
2011,Cybernetics,894.0000
2012,Cybernetics,1047.0000
2013,Cybernetics,1777.0000
2015,Cybernetics,1557.0000
2017,Cybernetics,1546.5000
2018,Cybernetics,1905.7500
2019,Cybernetics,1329.7500
2012,"Elec. Eng.",840.0000
2016,"Elec. Eng.",984.0000
2017,"Elec. Eng.",1357.3333
2013,English,1184.0000
2015,English,1057.0000
2011,Finance,945.0000
2012,Finance,928.5000
2013,Finance,1037.6667
2014,Finance,993.5000
2015,Finance,1095.2500
2016,Finance,1413.0000
2018,Finance,1754.0000
2019,Finance,1845.7500
2010,Geology,1758.0000
2013,Geology,1306.5000
2016,Geology,1153.0000
2018,Geology,1182.7500
2019,Geology,971.2500
2010,History,936.0000
2011,History,1326.0000
2016,History,1599.3333
2012,Languages,1352.0000
2010,Marketing,810.0000
2012,Marketing,947.0000
2014,Marketing,943.3333
2016,Marketing,952.7500
2019,Marketing,971.5000
2010,Math,3177.0000
2012,Math,2479.5000
2017,Math,1947.0000
2010,Physics,1192.0000
2012,Physics,1132.0000
2016,Physics,1992.0000
2017,Physics,1707.7500
2015,"Pol. Sci.",2416.0000
2013,Psychology,2484.0000
2014,Psychology,1689.0000
2015,Psychology,1802.6667
2016,Psychology,1859.0000
2017,Psychology,1755.7500
2018,Psychology,2002.5000
2019,Psychology,1775.0000
2013,Statistics,918.0000
2019,Statistics,1059.0000
